# 'gammaray_to_be_skipped' is a list of pairs that stores all the pairs of 
# gate-and-spectra that (for some reasons) need to be skipped.
# Each pair should be inserted as GAMMARAY_ENERGY,GATE_ENERGY

476.8,5557.7
4618.0,5355.7
678.6,5355.7
545.3,5355.7
2474.9,5355.7
2466.2,5355.7
1606.6,5355.7
1209.6,5355.7
1852.3,5355.7
4625.0,5348.1
5348.1,4625.0
1867.4,5348.1
263.53,2466.2
263.53,2903.4
263.53,2917.5
263.53,2601.44
263.53,7822.3
637.68,1419.3
637.68,1649.9
637.68,3535.1
637.68,2223.3
878.25,1419.3
1640.7,1307.3
211.3,1307.3
211.3,1511.6
1307.3,545.3
1307.3,1690.8
1316.4,2024.3
1316.4,1690.8
1316.4,1997.0
1316.4,2519.3
1316.4,545.3
1316.4,1731.0
1307.3,2024.3
1640.7,1419.3
1640.7,1188.5
1640.7,2223.3
1640.7,3000.1
1640.7,3535.1
1640.7,4032.0
3535.1,3672.5
5789.5,1419.3
299.5,2969.2
299.5,3094.0
299.5,3943.7
1538.8,1101.3
894.2,2477.0
6651.3,703.4
1384.4,6034.4
4932.8,5037.4
3808.2,5037.4
5037.4,3808.2
3048.3,5037.4
3807.1,5040.4
5040.4,3807.1
1878.7,5238.8
1788.5,6034.4
1788.5,1753.1
1788.5,476.8
697.6,678.6
532.1,6034.4
1064.1,5135.8
1630.4,1016.9
7215.8,605.8
605.8,7215.8
628.71,7215.8
1630.4,7215.8
869.47,7215.8
1630.4,2664.7
1630.4,2685.1
1630.4,2934.8
1016.9,1064.1
1016.9,6199.9
1218.8,6199.9
1912.18,1101.3
1912.18,1212.5
2937.8,1773.3
2937.6,5909.8
1773.3,1791.1
1844.7,1791.1
1844.7,2327.3
1419.3,5789.5
3057.9,4149.7
4149.7,3622.0
1428.0,1630.4
2758.5,4457.9
2313.6,4457.9
1520.2,5833.6
1620.4,5833.6
1635.0,5833.6
1989.17,5833.6
2640.1,5833.6
4140.1,5833.6
2158.5,5935.8
3301.33,1107.98
1549.0,4281.9
4281.9,1549.0
2934.8,4281.9
4564.7,4281.9
3731.0,5116.1
3176.2,5673.0
1683.0,1462.8
1683.0,2856.4
2414.0,1462.8
2414.0,2856.4
2801.73,1462.8
2801.73,2856.4
3176.2,1462.8
667.9,6103.45
667.9,1547.2
2337.5,4208.9
3621.1,4208.9
3000.1,4208.9
3210.2,4208.9
3006.8,4208.9
3006.0,1672.6
3614.8,4208.9
4576.2,1188.5
4576.2,1724.5
2448.2,1724.5
3077.0,1724.5
2688.7,1724.5
727.2,1724.5
2376.1,1724.5
3672.5,1724.5
1335.0,1188.5
1810.3,1188.5
3077.0,1188.5
727.2,1188.5
1324.0,1107.98
1324.0,1188.5
1324.0,1724.5
1366.1,1632.0
1093.2,1632.0
2244.2,1632.0
1229.2,2015.5
3747.2,2015.5
1603.7,2015.5
1050.6,667.9
1050.6,2746.7
1050.6,1142.9
1142.9,1978.1
1092.8,5722.2
6506.0,4624.9
898.0,1025.0
898.0,1678.5
1353.1,1025.0
1872.7,1025.0
1872.7,2765.7
1872.7,5582.4
1771.9,1025.0
1836.6,1025.0
1836.6,1911.6
1771.9,1911.6
2891.2,1911.6
4391.5,1025.0
5025.4,1547.2
5025.4,2675.9
5025.4,2927.9
1981.9,1547.2
1250.2,1547.2
1961.0,1567.6
4556.1,1567.6
4556.12,1025.0
727.2,1188.5
974.4,1922.8
1606.1,1922.8
1992.8,1922.8
2767.2,1922.8
2767.2,3052.4
2767.2,898.0
3493.4,1922.8
1922.4,2024.3
894.2,2378.1
483.4,2378.1
1017.5,1420.2
1017.5,2897.2
1017.5,4984.4
2861.5,4984.4
2784.8,2222.9
4856.7,2300.3
2637.3,2319.6
2709.5,2319.6
898.0,2765.7
1353.1,2765.7
1836.6,2765.7
2191.0,2765.7
2504.4,2765.7
2504.4,1025.0
2247.7,2765.7
2247.7,1911.6
4391.5,2765.7
1624.5,3014.2
1524.4,3014.2
1546.0,1672.9
1546.0,2015.5
1546.0,3052.3
1546.0,3409.1
1603.7,3409.1
1207.2,1646.5
1207.2,2916.7
1207.2,3748.2
2281.7,3748.2
3712.0,2319.6
2071.6,2319.6
3731.0,2300.3
2688.7,1724.5
1537.8,1724.5
2071.7,1724.5
898.0,1911.6
1771.9,2765.7
2003.5,2168.5
1931.2,2168.5
1374.8,2168.5
704.5,2168.5
1182.7,4551.7
1481.7,1182.7
1481.7,1417.2
2037.9,1417.2
4551.7,1182.7
1683.4,1182.7
2037.9,1182.7
1524.4,1277.8
4551.7,1277.8
4143.8,1277.8
4143.8,2653.8
1773.3,1448.5
1448.5,4551.7
1546.0,1672.9
1860.8,1672.9
1860.8,2190.3
2533.5,4035.1
682.34,2219.8
682.34,2869.0
1961.0,2405.0
1961.0,2451.8
1993.1,5223.1
1984.1,5223.1
3623.7,5223.1
5223.1,2862.7
2642.8,4564.8
2651.6,4564.8
2206.6,4564.8
1428.67,2852.9
2743.4,1538.6
2743.4,2675.9
2815.9,2222.9
3175.9,4032.0
3507.9,3427.9
2675.9,3427.9
3052.4,3427.9
2168.5,3672.5
3672.5,3535.1
2950.5,2319.6
2518.8,5304.2
556.8,1912.6
202.1,1912.6
4904.7,1641.0
4904.7,1745.5
4904.7,3180.8
4904.7,2917.5
4904.7,2924.0
4904.7,2513.4
4904.7,3942.0
1641.0,4904.7
2917.5,4904.7
2924.0,4904.7
2513.4,4904.7
2085.2,1017.0
2085.2,1542.95
2085.2,1831.3
2085.2,1448.5
2085.2,2097.3
2085.2,2124.6
2085.2,2327.3
2085.2,2619.7
1692.9,1388.1
2734.5,1388.1
2380.7,1388.1
3048.4,1388.1
2458.1,1978.1
4074.6,1442.7
4074.6,1731.0
4074.6,2024.3
1912.18,3285.3
894.2,3285.3
483.4,3285.3
894.2,3059.5
3059.1,3902.9
2581.5,1360.5
2191.0,1678.5
1353.1,1678.5
2504.4,1678.5
4344.2,1727.6
2458.1,1727.6
1186.6,1727.6
496.4,1727.6
496.4,5628.9
496.4,1978.1
4132.0,1632.0
4132.0,1938.4
4132.0,2168.5
4132.0,444.5
1931.2,1672.6
1938.4,3902.9
3006.0,1938.4
2244.2,1938.4
704.5,1938.4
1093.2,1938.4
1374.8,1938.4
4074.6,2519.3
4074.6,1997.0
2186.2,2519.3
1922.4,1997.0
1518.2,1997.0
1518.2,2519.3
1844.7,2619.7
1844.7,1791.1
1844.7,2097.3
1844.7,1017.0
1844.7,6001.3
2097.3,2085.2
667.9,2675.9
667.9,2927.9
3201.26,2150.5
3201.26,3391.7
3201.26,3596.4
3201.26,3099.2
1050.6,3099.2
1050.6,3391.7
1050.6,3991.7
682.34,3991.7
682.34,1869.0
646.5,3391.7
646.5,2746.7
646.5,667.9
646.5,3596.4
637.68,3306.9
2554.9,3515.7
2282.2,2319.6
2509.2,1388.2
2822.2,1388.2
1983.3,2319.6
2154.6,1388.2
3877.0,1388.2
1183.5,5537.44
5537.44,1183.5
1709.1,4025.3
2088.0,1182.7
3113.8,1182.7
4143.8,1267.2
1093.2,1672.6
1093.2,2168.5
1518.2,2024.3
1863.2,5909.8
5909.8,1863.2
2052.1,1753.1
1173.9,1468.6
1173.9,476.8
1173.9,1715.7
1173.9,6034.4
738.0,1468.6
532.1,1715.7
532.1,476.8
2369.8,1547.2
1597.3,1672.9
1597.3,3052.3
989.0,1922.8
989.0,1574.4
989.0,3052.4
171.3,3052.4
171.3,6480.2
4181.7,1699.7
2037.9,1699.7
2519.3,2292.7
3322.8,2696.7
2596.1,2618.2
2596.1,2696.7
722.6,2696.7
1091.1,2696.7
1742.11,2696.7
1742.11,2413.5
2115.5,2696.7
703.4,2618.2
1640.7,3176.6
1630.4,3184.1
869.47,3184.1
628.71,3184.1
556.8,2664.7
556.8,2685.1
6577.1,891.1
