START LEVEL,STOP LEVEL,Integral Diff,Integral,TRANSITION,GATE,mean,sigma,amplitude,m,q,err_mean,err_sigma,err_amplitude,err_m,err_q
5289.25,4092.04,0.0000,758.0905,1196.7000,444.5000,1196.6814,0.8592,352.3006,-43.5864,52346.5919,0.1325,0.1669,49.3742,9.5068,11405.2460
5289.25,3922.71,-1.0000,2043.6225,1366.1000,444.5000,1365.6716,1.6519,495.8616,-5.4349,7460.8183,0.1029,0.1393,28.9124,4.5795,6238.5892
5289.25,3044.292,-1.0000,628.5404,2244.2000,444.5000,2244.1655,1.6941,152.7286,-1.2430,2798.4894,0.5983,0.8368,60.7101,3.6596,8257.3182
5289.25,3913.8,0.0000,704.7924,1374.8000,5841.9000,1375.1558,1.4466,194.4043,-0.8058,1184.4195,0.0963,0.1190,12.0543,0.5868,812.8233
5300.5,1157.0208,0.0000,69.8353,4143.8000,1549.0000,4144.2863,1.0626,26.2202,-0.3488,1442.9260,0.2581,0.2932,5.5917,0.6849,2837.7809
5342.2,3922.71,0.0000,726.1701,1419.3000,5789.5000,1419.3378,1.0801,268.2978,2.1644,-3041.6742,0.2046,0.2474,47.1888,2.1278,2997.9759
5573.9,3922.71,0.0000,685.9579,1649.9000,5557.7000,1649.9194,0.9050,302.3957,1.1657,-1870.8062,0.1163,0.1325,35.2019,1.0601,1738.7559
5573.9,3307.872,0.0000,1362.2029,2264.6000,5557.7000,2264.5205,1.4771,367.9360,0.0903,-206.0116,0.0583,0.0707,13.4410,0.5754,1309.1461
5573.9,5096.87,0.0000,1692.5645,476.8000,5557.7000,476.1998,1.1755,574.5159,20.8747,-9620.1956,0.0935,0.1120,39.9062,6.1088,2914.9836
5733.3,3913.8,0.0000,3844.0216,1819.3000,5397.8000,1819.2780,1.2020,1275.8540,-3.1839,6006.7193,0.0147,0.0164,14.0066,0.4896,895.1160
5775.76,4564.87,0.0000,637.1869,1209.6000,5355.7000,1209.4036,1.4868,170.9703,0.8245,-756.6293,0.2150,0.2473,21.6505,2.1046,2545.9091
5775.76,4168.5,0.0000,1177.6806,1606.6000,5355.7000,1606.6513,1.2864,365.2747,0.2397,-209.0242,0.0641,0.0764,15.9080,2.1725,3492.7833
5775.76,3922.71,0.0000,1124.4818,1852.3000,5355.7000,1852.3074,1.5546,288.9401,2.2402,-3925.2409,0.0981,0.1281,17.5705,0.8931,1644.0618
